index,budget,popularity,revenue,runtime,vote_average,vote_count,original_title,keywords,genres,original_language,production_companies,cast,Director,Producer,Writer,Editor,soup
0,237000000,150.437577,2787965087,162.0,7.2,11800,Avatar,"['3d', 'alien', 'future']","['action', 'adventure', 'sciencefiction']",en,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",[],['jamescameron'],"['Jon Landau', 'James Cameron']",['James Cameron'],"['Stephen E. Rivkin', 'John Refoua', 'James Cameron']",3d alien future  jamescameron action adventure sciencefiction
1,300000000,139.082615,961000000,169.0,6.9,4500,Pirates of the Caribbean: At World's End,"['aftercreditsstinger', ""loveofone'slife"", 'ship']","['action', 'adventure', 'fantasy']",en,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",[],['goreverbinski'],"['Peter Kohn', 'Jerry Bruckheimer', 'Pat Sandston', 'Chad Oman', 'Eric McLeod']",[],"['Stephen E. Rivkin', 'Craig Wood']",aftercreditsstinger loveofone'slife ship  goreverbinski action adventure fantasy
2,245000000,107.376788,880674609,148.0,6.3,4466,Spectre,"['basedonnovel', 'sequel', 'spy']","['action', 'adventure', 'crime']",en,"['Columbia Pictures', 'Danjaq', 'B24']",[],['sammendes'],"['Barbara Broccoli', 'Michael G. Wilson']",[],['Lee Smith'],basedonnovel sequel spy  sammendes action adventure crime
3,250000000,112.31295,1084939099,165.0,7.6,9106,The Dark Knight Rises,"['superhero', 'secretidentity', 'terrorist']","['drama', 'thriller', 'action']",en,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",[],['christophernolan'],"['Christopher Nolan', 'Emma Thomas', 'Charles Roven']",[],['Lee Smith'],superhero secretidentity terrorist  christophernolan drama thriller action
4,260000000,43.926995,284139100,132.0,6.1,2124,John Carter,"['basedonnovel', '3d', 'alien']","['action', 'adventure', 'sciencefiction']",en,['Walt Disney Pictures'],[],['andrewstanton'],"['Colin Wilson', 'Lindsey Collins', 'Jim Morris']",[],['Eric Zumbrunnen'],basedonnovel 3d alien  andrewstanton action adventure sciencefiction
5,258000000,115.699814,890871626,139.0,5.9,3576,Spider-Man 3,"['revenge', 'sequel', 'superhero']","['action', 'adventure', 'fantasy']",en,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",[],['samraimi'],"['Avi Arad', 'Grant Curtis', 'Laura Ziskin']",[],['Bob Murawski'],revenge sequel superhero  samraimi action adventure fantasy
6,260000000,48.681969,591794936,100.0,7.4,3330,Tangled,"['duringcreditsstinger', 'musical', 'magic']","['family', 'animation']",en,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",[],"['byronhoward', 'nathangreno']",['Roy Conli'],[],['Tim Mertens'],duringcreditsstinger musical magic  byronhoward nathangreno family animation
7,280000000,134.279229,1405403694,141.0,7.3,6767,Avengers: Age of Ultron,"['duringcreditsstinger', '3d', 'sequel']","['action', 'adventure', 'sciencefiction']",en,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",[],['josswhedon'],['Kevin Feige'],['Joss Whedon'],"['Jeffrey Ford', 'Lisa Lassek']",duringcreditsstinger 3d sequel  josswhedon action adventure sciencefiction
8,250000000,98.885637,933959197,153.0,7.4,5293,Harry Potter and the Half-Blood Prince,"['magic', 'witch', 'werewolf']","['adventure', 'family', 'fantasy']",en,"['Warner Bros.', 'Heyday Films']",[],['davidyates'],"['David Barron', 'Tim Lewis', 'David Heyman']",[],['Mark Day'],magic witch werewolf  davidyates adventure family fantasy
9,250000000,155.790452,873260194,151.0,5.7,7004,Batman v Superman: Dawn of Justice,"['revenge', 'superhero', 'basedoncomicbook']","['action', 'adventure', 'fantasy']",en,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",[],['zacksnyder'],"['Deborah Snyder', 'Charles Roven']",[],['David Brenner'],revenge superhero basedoncomicbook  zacksnyder action adventure fantasy
10,270000000,57.925623,391081192,154.0,5.4,1400,Superman Returns,"['sequel', 'superhero', 'basedoncomicbook']","['action', 'adventure', 'sciencefiction']",en,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",[],['bryansinger'],"['Bryan Singer', 'Jon Peters', 'Gilbert Adler']",[],"['John Ottman', 'Elliot Graham']",sequel superhero basedoncomicbook  bryansinger action adventure sciencefiction
11,200000000,107.928811,586090727,106.0,6.1,2965,Quantum of Solace,"['undercover', 'secretagent', 'britishsecretservice']","['thriller', 'action', 'adventure']",en,['Eon Productions'],[],['marcforster'],"['Barbara Broccoli', 'Michael G. Wilson']",[],"['Matt Chesse', 'Richard Pearson']",undercover secretagent britishsecretservice  marcforster thriller action adventure
12,200000000,145.847379,1065659812,151.0,7.0,5246,Pirates of the Caribbean: Dead Man's Chest,"['aftercreditsstinger', 'daughter', 'witch']","['action', 'adventure', 'fantasy']",en,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",[],['goreverbinski'],"['Peter Kohn', 'Jerry Bruckheimer', 'Pat Sandston']",[],"['Stephen E. Rivkin', 'Craig Wood']",aftercreditsstinger daughter witch  goreverbinski action adventure fantasy
